loan_amnt,hardship_flag,revol_bal,out_prncp,total_pymnt,disbursement_method,total_pymnt_inv,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,application_type,total_rec_int,addr_state,total_rec_prncp,verification_status,term,int_rate,grade,emp_length,home_ownership,purpose,issue_d,loan_status,pymnt_plan,debt_settlement_flag,annual_inc,last_credit_pull_d
10000.0,0,10869.0,8533.19,2016.71,0,2016.71,0.0,0.0,0.0,203.92,0,549.9,14,1466.81,0,1,8.24,1,7.0,1,2,0,1,0,0,80000.0,0.08493150684931507
28000.0,0,73344.0,0.0,30158.7968323468,0,30158.8,0.0,0.0,0.0,26232.31,0,2158.8,42,28000.0,0,0,16.99,3,7.0,1,2,0,0,0,0,160000.0,0.336986301369863
20000.0,0,21172.0,0.0,20913.0748904453,0,20913.07,0.0,0.0,0.0,16579.6,0,913.07,18,20000.0,2,0,7.49,0,10.0,1,2,0,0,0,0,200000.0,0.16712328767123288
14400.0,0,11066.0,0.0,15307.7361782331,0,15307.74,0.0,0.0,0.0,12481.98,0,907.74,47,14400.0,1,0,11.49,1,2.0,1,2,0,0,0,0,95000.0,0.08493150684931507
13000.0,0,17192.0,0.0,2220.99,0,2220.99,0.0,0.0,0.0,469.25,0,698.01,21,1522.98,0,0,13.99,2,10.0,1,1,0,1,0,0,68000.0,0.08493150684931507
8000.0,0,3370.0,0.0,8003.8458666668,0,8003.85,0.0,0.0,0.0,8018.01,0,3.85,21,8000.0,0,0,12.74,2,5.0,3,2,0,0,0,0,41000.0,0.8328767123287671
2000.0,0,14490.0,1618.81,533.58,0,533.58,0.0,0.0,0.0,67.14,0,152.39,1,381.19,1,0,12.74,2,1.0,1,5,0,1,0,0,90000.0,0.08493150684931507
36000.0,0,28955.0,0.0,39089.346997177,0,39089.35,0.0,0.0,0.0,34176.7,0,3089.35,42,36000.0,1,1,14.99,2,0.0,1,2,0,0,0,0,115000.0,0.25205479452054796
19600.0,0,21465.0,0.0,20650.4564611886,0,20650.46,0.0,0.0,0.0,17875.13,0,1050.46,13,19600.0,1,1,8.24,1,10.0,1,2,0,0,0,0,140000.0,0.16712328767123288
21500.0,0,25098.0,0.0,21927.6379427436,0,21927.64,0.0,0.0,0.0,21496.94,0,427.64,42,21500.0,1,1,10.49,1,0.0,3,1,0,0,0,0,200000.0,0.6712328767123288
